	MH1	MH2	MH3	MH4	MH5	MWS.H1	MWS.H2	MWS.H3	MWS.H4	MWS.H5	MWS1	MWS2	MWS3	MWS4	MWS5
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4)	-16.0	-16.0	-16.0	-9.92160607883143	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-10.683792137486554	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-12.318260343712415	-16.0	-8.030102787424445
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria	-16.0	-6.423084068549145	-5.036140018145797	-4.316224036871342	-8.17774859308218	-6.985820858683812	-8.330402639990874	-5.0332825747129935	-6.233008358475889	-10.524235611824311	-11.658657792126085	-16.0	-12.318260343712415	-8.973298754681538	-7.803033878878525
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.05168661192481	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria	-16.0	-16.0	-16.0	-16.0	-8.098314125587775	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia	-16.0	-16.0	-7.904742129029942	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	-8.500354564895687	-7.423084068549145	-6.841732331504141	-4.436518270589053	-5.302042702659188	-5.079642881040334	-10.261139977553759	-4.204686505081219	-10.644821956880447	-6.887610991280662	-1.368638945193467	-1.992340747598692	-2.485370329547674	-2.056424070500398	-6.289862061225379
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.73329784299126	-16.0	-16.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-7.111577100689738	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
