	MH1	MH2	MH3	MH4	MH5	MWS.H1	MWS.H2	MWS.H3	MWS.H4	MWS.H5	MWS1	MWS2	MWS3	MWS4	MWS5
D_0__Bacteria;D_1__Acidobacteria	-16.0	-16.0	-16.0	-10.352043425795433	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-11.121180276357025	-16.0
D_0__Bacteria;D_1__Actinobacteria	-16.0	-6.565304061725869	-5.750456670124429	-4.746661383835344	-7.826256921832295	-7.526115193864409	-7.990538157450596	-5.489047319262718	-6.373405310575737	-10.60437948366534	-12.25691629667084	-16.0	-11.55632642508309	-9.41068689355201	-7.019110375861585
D_0__Bacteria;D_1__Bacteroidetes	-9.03897734484053	-7.565304061725869	-7.741178856536418	-4.866955617553056	-5.990814901623029	-5.619937216220929	-10.605248001565803	-4.660451249630944	-10.785218908980294	-6.967754863121692	-1.966897449738222	-2.4275096787536556	-2.713976081669282	-2.4938122093708692	-6.396866859060969
D_0__Bacteria;D_1__Chloroflexi	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-7.276826702983561	-16.0	-16.0	-16.0	-11.0684118792429	-16.0	-16.0	-9.348611690453748
D_0__Bacteria;D_1__Cloacimonetes	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.16400900230433	-16.0	-16.0
D_0__Bacteria;D_1__Cyanobacteria	-9.549172077159715	-8.480415164139355	-13.026581075398667	-7.460419586840225	-5.767892759318306	-5.9590746011405145	-5.4378298557340665	-11.004747157546761	-9.785218908980294	-16.0	-9.40891939011589	-4.563502630087779	-8.234398330195727	-7.003183066958574	-7.665801866334447
D_0__Bacteria;D_1__Dependentiae	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-10.720488575822593	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Epsilonbacteraeota	-16.0	-11.609698181084322	-16.0	-11.278042844351656	-16.0	-16.0	-16.0	-10.589709658267918	-14.592573831037898	-8.475096466720373	-8.850923936995004	-10.94288099715904	-3.3615695706608424	-11.25868380010696	-10.509076362646994
D_0__Bacteria;D_1__Fibrobacteres	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-7.834822156104448	-16.0	-16.0	-16.0	-16.0	-8.579046501583173	-16.0	-16.0
D_0__Bacteria;D_1__Firmicutes	-16.0	-6.549002249396768	-8.657347265732946	-6.056939118983781	-6.63443931454114	-6.39347742528629	-8.539158811108031	-4.813276625823184	-8.325787290342998	-16.0	-8.87840467341711	-8.004281541823184	-9.198774420465007	-8.936755705219598	-10.596539203897333
