	MH1	MH2	MH3	MH4	MH5	MWS.H1	MWS.H2	MWS.H3	MWS.H4	MWS.H5	MWS1	MWS2	MWS3	MWS4	MWS5
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales;D_4__Blastocatellaceae	-16.0	-16.0	-16.0	-9.92160607883143	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia;D_3__Thermoanaerobaculales;D_4__Thermoanaerobaculaceae	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-10.683792137486554	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Microtrichaceae	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-12.318260343712415	-16.0	-8.030102787424445
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Corynebacteriaceae	-16.0	-9.0412134332055	-5.557278942035442	-4.697858377882971	-10.320706546924225	-16.0	-8.617283787779035	-5.320163722501156	-9.094624874319967	-11.20230751693695	-12.980585887013447	-16.0	-12.318260343712415	-12.558261255402694	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Frankiaceae	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.130248784050687	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Geodermatophilaceae	-16.0	-16.0	-16.0	-16.0	-9.382107091588367	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae	-16.0	-16.0	-11.12713455036639	-9.040250575330049	-16.0	-16.0	-16.0	-8.025420456940024	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae	-16.0	-16.0	-9.712097051087547	-7.940714901779135	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-10.78909468792065
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Promicromonosporaceae	-16.0	-16.0	-16.0	-12.58457109155386	-16.0	-16.0	-16.0	-11.326589991660589	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;__	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-10.801708358916462	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Propionibacteriaceae	-16.0	-7.7395577333444	-7.285832296385448	-7.49710825030352	-9.735744046203068	-7.321169469333497	-16.0	-9.61038295766118	-6.690625646493571	-11.939273111103155	-12.395623386292291	-16.0	-16.0	-9.098829636765398	-7.9976813097320685
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Pseudonocardiales;D_4__Pseudonocardiaceae	-16.0	-7.621988136963224	-9.712097051087547	-16.0	-16.0	-9.255281533677039	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Atopobiaceae	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.05168661192481	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria;D_3__Rubrobacterales;D_4__Rubrobacteriaceae	-16.0	-16.0	-16.0	-16.0	-8.098314125587775	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__Solirubrobacteraceae	-16.0	-16.0	-7.904742129029942	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinifilaceae	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-11.716880689766707	-16.0	-16.0	-7.763671492034779	-16.0	-16.0
